City,Country,Max Temperature,Cloudiness,Humidity,Wind Speed,Latitude,Longitude
Ternate,ID,80.46,48,78,3.44,0.8,127.4
Batagay-Alyta,RU,62.73,99,74,2.35,67.8,130.41
Mount Isa,AU,62.6,43,20,4.7,-20.73,139.5
Kamenka,RU,60.01,0,91,3.89,51.32,42.77
Lipari,IT,75.0,0,69,5.99,38.47,14.95
Solnechnyy,RU,75.51,98,72,2.26,50.72,136.63
Port Blair,IN,80.71,99,78,2.84,11.67,92.75
Guabito,PA,84.2,75,83,10.29,9.5,-82.62
Svetlaya,RU,63.91,99,77,3.0,46.54,138.33
San Carlos,VE,77.2,84,88,3.02,9.66,-68.58
Ossora,RU,52.84,96,88,15.23,59.24,163.07
Kutum,SD,74.5,94,59,8.75,14.2,24.67
Bud,US,75.2,40,88,5.82,39.45,-86.18
Kropotkin,RU,72.09,7,57,7.25,45.44,40.58
Rocha,UY,65.19,95,92,4.72,-34.48,-54.33
Belmonte,BR,69.8,75,94,2.24,-15.86,-38.88
Kimbe,PG,83.03,4,71,3.29,-5.55,150.14
São Félix do Xingu,BR,77.23,10,50,2.91,-6.64,-51.99
Provincie Utrecht,NL,61.0,100,89,1.99,52.0,5.25
Rosarito,MX,81.0,1,57,12.75,32.33,-117.03
Tame,CO,76.84,45,86,1.7,6.46,-71.73
Acapulco de Juárez,MX,87.8,75,74,5.82,16.86,-99.89
Morro Bay,US,80.01,16,84,4.0,35.37,-120.85
Clovis,US,102.99,40,20,8.05,36.83,-119.7
Muisne,EC,73.76,88,87,10.98,0.6,-80.03
Zhigansk,RU,61.7,99,65,5.57,66.77,123.37
Messina,IT,73.0,20,88,0.43,38.19,15.55
Independência,BR,75.49,41,57,4.85,-5.4,-40.31
Karsun,RU,56.16,0,93,5.99,54.2,46.98
Kyabram,AU,45.0,0,86,8.01,-36.32,145.05
Lagoa,PT,69.19,29,79,5.14,39.05,-27.98
Sisimiut,GL,53.29,78,72,4.85,66.94,-53.67
Sandovo,RU,57.51,97,85,2.8,58.46,36.41
Gerāsh,IR,83.17,0,54,2.06,27.67,54.14
Biak,ID,77.36,66,81,7.56,-0.91,122.88
Gigmoto,PH,81.39,85,81,5.26,13.78,124.39
Palmer,US,89.6,75,43,9.17,42.16,-72.33
Boueni,YT,77.0,75,69,23.04,-12.9,45.08
Madang,PG,81.99,20,75,1.92,-5.22,145.8
Mergen,CN,65.08,100,92,3.4,49.18,125.22
Plettenberg Bay,ZA,57.56,0,63,3.27,-34.05,23.37
Mae Hong Son,TH,73.47,100,85,0.69,19.3,97.97
Oranjemund,NA,62.58,0,35,4.88,-28.55,16.43
Taraclia,MD,67.26,0,56,2.35,45.9,28.67
Quatre Cocos,MU,68.0,75,77,14.99,-20.21,57.76
Illapel,CL,57.65,82,76,4.03,-31.63,-71.17
Narkevychi,UA,60.85,100,88,4.56,49.52,26.64
Namwala,ZM,46.74,0,88,2.66,-15.75,26.44
Krasnoyarsk,RU,48.2,50,93,2.17,56.01,92.79
Baracoa,CU,82.98,81,75,7.2,20.35,-74.5
Osakarovka,KZ,62.42,44,42,8.39,50.56,72.57
Lagunas,PE,75.88,16,94,3.24,-5.23,-75.68
Chinhoyi,ZW,48.34,0,86,4.34,-17.37,30.2
Huarmey,PE,63.18,85,77,9.24,-10.07,-78.15
Tsimmerbude,RU,64.4,27,88,2.24,54.67,20.13
Aleksandrovsk-Sakhalinskiy,RU,64.04,99,90,2.21,50.9,142.16
Burnie,AU,46.99,12,63,15.99,-41.07,145.92
Lábrea,BR,80.83,71,68,1.45,-7.26,-64.8
Mayumba,GA,70.45,32,91,5.26,-3.43,10.66
Araure,VE,84.2,71,62,14.99,9.56,-69.21
Petatlán,MX,91.4,5,63,10.29,17.52,-101.27
Bashtanka,UA,68.52,0,63,8.68,47.41,32.44
Booué,GA,72.5,96,90,4.0,-0.09,11.94
Corocito,HN,83.64,8,76,3.71,15.75,-85.78
Sibolga,ID,76.14,19,81,3.87,1.74,98.78
Altay,CN,63.7,38,51,1.95,47.87,88.12
Boddam,GB,52.0,31,81,6.93,57.47,-1.78
Namatanai,PG,83.93,2,64,6.76,-3.67,152.43
Hofn,IS,55.0,51,60,7.34,64.25,-15.21
Dodge City,US,90.0,1,55,9.17,37.75,-100.02
Moshi,TZ,64.02,75,73,1.95,-3.35,37.33
Caraballeda,VE,82.4,40,74,5.82,10.61,-66.85
Port Augusta,AU,48.2,90,76,4.7,-32.5,137.77
Kerman,IR,73.4,0,18,11.41,30.28,57.08
Calabozo,VE,77.2,98,91,0.85,8.92,-67.43
Amapá,BR,72.46,72,96,1.59,1.0,-52.0
Anking,CN,71.38,100,84,1.99,30.51,117.05
Cantapoy,PH,79.21,90,82,2.95,9.49,125.44
Malbork,PL,66.0,0,77,3.36,54.04,19.03
Iranshahr,IR,89.76,18,49,0.85,27.2,60.68
Kumul,CN,84.27,76,19,9.08,42.8,93.45
Aquiraz,BR,78.8,20,78,6.93,-3.9,-38.39
Bull Savanna,JM,80.17,99,76,2.57,17.89,-77.59
Barranca,PE,60.64,21,83,8.43,-10.75,-77.77
Bon Air,US,97.0,1,41,9.17,37.52,-77.56
Clyde River,CA,46.4,90,75,9.17,70.47,-68.59
Beloha,MG,60.84,0,81,10.09,-25.17,45.05
Māngrol,IN,83.37,98,82,14.65,21.12,70.12
Alice Springs,AU,46.4,65,61,10.42,-23.7,133.88
Devonport,AU,48.99,15,71,1.99,-41.17,146.35
Cláudio,BR,59.16,0,64,5.21,-20.44,-44.77
Treinta y Tres,UY,68.54,81,81,10.8,-33.23,-54.38
Namtsy,RU,73.4,35,78,6.71,62.72,129.67
Seminole,US,89.6,5,52,12.75,28.71,-81.21
Ozernovskiy,RU,51.1,99,91,11.45,51.5,156.52
Gao,ML,92.32,34,38,4.43,16.64,1.64
Kiruna,SE,53.6,92,93,3.36,67.86,20.23
Okha,RU,56.07,97,87,11.21,53.57,142.95
Lashma,RU,55.63,0,95,2.73,54.93,41.14
Horta,PT,69.4,59,75,3.49,38.53,-28.63
Quesnel,CA,69.8,90,56,4.7,53.0,-122.5
Alappuzha,IN,79.12,89,88,3.67,9.49,76.33
Karachi,PK,86.0,75,79,13.87,24.91,67.08
Guaca,CO,77.0,40,73,5.82,6.88,-72.86
Lat Yao,TH,80.19,100,80,3.67,15.75,99.79
Havre-St-Pierre,CA,69.8,1,77,9.17,50.23,-63.6
Kibakwe,TZ,57.99,0,70,3.62,-6.72,36.37
Gazli,UZ,83.32,0,18,6.87,40.13,63.45
Alihe,CN,63.28,98,82,2.42,50.57,123.72
Grand Gaube,MU,66.0,45,77,5.01,-20.01,57.66
Sibu,MY,75.2,40,94,3.36,2.3,111.82
Beian,NO,53.6,75,87,3.36,63.66,9.57
