City,Cloudiness,Country,Date,Humidity,Max Temperature,Latitude,Longitude,Wind Speed
Buraidah,8,SA,1970-01-01 00:00:01.595199753,23,95.0,26.33,43.98,9.17
Sola,90,VU,1970-01-01 00:00:01.595199715,83,78.8,-13.88,167.55,6.93
Kumluca,0,TR,1970-01-01 00:00:01.595199955,57,78.42,36.37,30.29,1.54
Iqaluit,90,CA,1970-01-01 00:00:01.595199955,100,42.8,63.75,-68.51,5.82
Kovūr,100,IN,1970-01-01 00:00:01.595199955,82,80.89,14.48,79.98,9.46
Katsuura,75,JP,1970-01-01 00:00:01.595199955,94,78.01,35.13,140.3,1.12
Poum,34,NC,1970-01-01 00:00:01.595199955,63,71.82,-20.23,164.02,12.01
Kaeo,71,NZ,1970-01-01 00:00:01.595199955,3,60.01,-35.1,173.78,1.01
Presidencia Roque Sáenz Peña,72,AR,1970-01-01 00:00:01.595199710,47,78.39,-26.79,-60.44,9.04
Rocky Mount,1,US,1970-01-01 00:00:01.595199955,50,96.8,35.94,-77.79,10.29
Torbay,20,CA,1970-01-01 00:00:01.595199914,49,71.6,47.67,-52.73,11.41
Adiaké,20,CI,1970-01-01 00:00:01.595199956,100,75.2,5.29,-3.3,5.82
Poronaysk,100,RU,1970-01-01 00:00:01.595199956,94,60.64,49.22,143.12,5.21
Mongo,91,TD,1970-01-01 00:00:01.595199956,78,74.8,12.18,18.69,14.63
Krasnyye Baki,96,RU,1970-01-01 00:00:01.595199956,98,59.52,57.13,45.16,4.03
Narsaq,21,GL,1970-01-01 00:00:01.595199784,38,60.8,60.92,-46.05,6.93
Troisdorf,61,DE,1970-01-01 00:00:01.595199956,72,70.0,50.82,7.17,6.93
Klyuchi,8,RU,1970-01-01 00:00:01.595199956,88,62.94,52.27,79.17,5.39
Peniche,2,PT,1970-01-01 00:00:01.595199957,85,64.99,39.36,-9.38,4.0
Leningradskiy,52,RU,1970-01-01 00:00:01.595199957,71,41.05,69.38,178.42,7.54
Araouane,30,ML,1970-01-01 00:00:01.595199755,26,97.57,18.9,-3.53,0.04
Kuna,1,US,1970-01-01 00:00:01.595199957,16,93.99,43.49,-116.42,11.41
Le Port,42,RE,1970-01-01 00:00:01.595199957,63,64.4,-20.94,55.29,8.05
Shache,0,CN,1970-01-01 00:00:01.595199739,55,68.14,38.42,77.24,5.48
Avera,1,US,1970-01-01 00:00:01.595199957,37,96.8,33.19,-82.53,8.05
Artesia,1,US,1970-01-01 00:00:01.595199958,47,87.01,33.87,-118.08,12.75
Kargopol',0,RU,1970-01-01 00:00:01.595199958,83,52.43,61.51,38.95,1.9
Isangel,40,VU,1970-01-01 00:00:01.595199958,73,75.2,-19.55,169.27,4.7
Mpulungu,0,ZM,1970-01-01 00:00:01.595199958,60,66.31,-8.76,31.11,9.89
Marsá Maţrūḩ,20,EG,1970-01-01 00:00:01.595199958,78,75.2,31.35,27.25,8.21
Longyearbyen,75,SJ,1970-01-01 00:00:01.595199924,87,44.6,78.22,15.64,11.41
Bilibino,0,RU,1970-01-01 00:00:01.595199958,38,67.64,68.05,166.44,1.19
Waipawa,90,NZ,1970-01-01 00:00:01.595199741,59,62.01,-41.41,175.52,9.84
Chumphon,100,TH,1970-01-01 00:00:01.595199959,98,74.08,10.33,98.83,0.92
Natal,40,BR,1970-01-01 00:00:01.595199778,88,77.0,-5.79,-35.21,8.05
Ürümqi,94,CN,1970-01-01 00:00:01.595199707,41,78.8,43.8,87.6,6.71
Saint Anthony,1,US,1970-01-01 00:00:01.595199959,39,82.4,45.02,-93.22,19.46
Coquimbo,100,CL,1970-01-01 00:00:01.595199733,87,55.4,-29.95,-71.34,6.93
Port Hardy,20,CA,1970-01-01 00:00:01.595199959,64,68.0,50.7,-127.42,19.46
Carutapera,89,BR,1970-01-01 00:00:01.595199959,85,76.19,-1.2,-46.02,6.49
Mt. Pleasant,1,US,1970-01-01 00:00:01.595199959,70,88.0,32.79,-79.86,10.29
Dunedin,67,NZ,1970-01-01 00:00:01.595199793,72,48.0,-45.87,170.5,5.99
Aswān,28,EG,1970-01-01 00:00:01.595199960,16,88.03,24.09,32.91,7.85
Golyshmanovo,32,RU,1970-01-01 00:00:01.595199960,86,66.36,56.4,68.37,5.88
Henties Bay,0,NA,1970-01-01 00:00:01.595199960,24,72.0,-22.12,14.28,7.87
Magadan,16,RU,1970-01-01 00:00:01.595199942,62,60.66,59.57,150.8,3.87
Opuwo,0,NA,1970-01-01 00:00:01.595199960,42,53.01,-18.06,13.84,9.1
Caravelas,92,BR,1970-01-01 00:00:01.595199960,82,71.94,-17.71,-39.25,7.27
La Ronge,75,CA,1970-01-01 00:00:01.595199734,68,68.0,55.1,-105.28,9.17
Saint-Joseph,40,RE,1970-01-01 00:00:01.595199961,72,62.6,-21.37,55.62,4.7
Half Moon Bay,5,US,1970-01-01 00:00:01.595199825,56,75.99,37.46,-122.43,9.17
Lata,0,PT,1970-01-01 00:00:01.595199961,82,66.0,40.16,-8.33,2.01
Kilindoni,0,TZ,1970-01-01 00:00:01.595199961,71,76.84,-7.91,39.67,22.12
Alyangula,0,AU,1970-01-01 00:00:01.595199961,100,64.4,-13.85,136.42,2.24
Gushikawa,1,JP,1970-01-01 00:00:01.595199961,88,84.0,26.35,127.87,3.36
Pangnirtung,100,CA,1970-01-01 00:00:01.595199961,52,59.34,66.15,-65.71,1.61
Panguna,0,PG,1970-01-01 00:00:01.595199961,71,78.26,-6.32,155.48,1.48
San Patricio,40,MX,1970-01-01 00:00:01.595199962,74,87.8,19.22,-104.7,11.41
Gramsh,0,AL,1970-01-01 00:00:01.595199962,70,59.97,40.87,20.18,2.55
Gravdal,87,NO,1970-01-01 00:00:01.595199962,87,54.54,68.12,13.5,10.63
Abnūb,3,EG,1970-01-01 00:00:01.595199962,44,80.6,27.27,31.15,6.93
Maniitsoq,69,GL,1970-01-01 00:00:01.595199962,79,50.79,65.42,-52.9,2.28
Tura,100,IN,1970-01-01 00:00:01.595199962,99,74.61,25.52,90.22,7.02
San Vicente,1,AR,1970-01-01 00:00:01.595199962,83,64.06,-26.62,-54.13,3.67
Shirokiy,100,RU,1970-01-01 00:00:01.595199963,76,67.8,49.76,129.52,11.21
Kudahuvadhoo,100,MV,1970-01-01 00:00:01.595199963,79,82.58,2.67,72.89,21.63
Duminichi,17,RU,1970-01-01 00:00:01.595199963,92,54.36,53.93,35.11,3.36
Bahía Blanca,84,AR,1970-01-01 00:00:01.595199963,73,54.23,-38.72,-62.27,10.2
Balasheyka,0,RU,1970-01-01 00:00:01.595199963,92,57.16,53.28,48.09,5.57
Antalaha,7,MG,1970-01-01 00:00:01.595199963,83,66.69,-14.9,50.28,10.87
Arlit,68,NE,1970-01-01 00:00:01.595199963,33,90.27,18.74,7.39,12.53
‘Āhuimanu,75,US,1970-01-01 00:00:01.595199964,65,89.6,21.44,-157.84,14.99
Padang,40,ID,1970-01-01 00:00:01.595199964,94,73.4,-0.95,100.35,2.24
Piquete,0,BR,1970-01-01 00:00:01.595199964,65,59.81,-22.61,-45.18,1.79
Roald,10,NO,1970-01-01 00:00:01.595199666,87,53.6,62.58,6.13,8.05
Samthar,97,IN,1970-01-01 00:00:01.595199964,62,89.46,25.85,78.92,10.8
Izumo,75,JP,1970-01-01 00:00:01.595199964,83,80.6,35.37,132.77,5.82
Tcholliré,97,CM,1970-01-01 00:00:01.595199964,95,71.35,8.4,14.17,2.44
Tuburan,75,PH,1970-01-01 00:00:01.595199965,94,75.2,6.64,122.27,2.24
Ankang,32,CN,1970-01-01 00:00:01.595199965,62,72.0,32.68,109.02,1.16
Taoudenni,46,ML,1970-01-01 00:00:01.595199965,15,101.97,22.68,-3.98,5.61
Port Lincoln,55,AU,1970-01-01 00:00:01.595199965,70,52.14,-34.73,135.87,5.79
Kupang,20,ID,1970-01-01 00:00:01.595199965,83,73.4,-10.17,123.58,9.17
Beyneu,0,KZ,1970-01-01 00:00:01.595199965,23,86.0,45.32,55.2,14.76
Lékoni,91,GA,1970-01-01 00:00:01.595199965,69,76.82,-1.58,14.26,3.6
Sur,63,OM,1970-01-01 00:00:01.595199966,75,85.75,22.57,59.53,12.73
Victoria Point,0,AU,1970-01-01 00:00:01.595199966,72,63.0,-27.58,153.3,4.0
Lovozero,4,RU,1970-01-01 00:00:01.595199966,80,60.4,68.0,35.01,5.82
Emerald,1,AU,1970-01-01 00:00:01.595199966,62,60.01,-23.53,148.17,5.82
Gizo Government Station,12,SB,1970-01-01 00:00:01.595199840,74,82.02,-8.1,156.84,4.94
Fare,80,PF,1970-01-01 00:00:01.595199966,81,77.76,-16.7,-151.02,20.24
Bandarbeyla,71,SO,1970-01-01 00:00:01.595199966,62,79.79,9.49,50.81,23.29
Flin Flon,20,CA,1970-01-01 00:00:01.595199967,38,73.4,54.77,-101.86,8.05
Pilar,90,BR,1970-01-01 00:00:01.595199967,100,71.6,-9.6,-35.96,6.93
Tiksi,16,RU,1970-01-01 00:00:01.595199950,59,61.77,71.69,128.87,9.26
Äänekoski,77,FI,1970-01-01 00:00:01.595199967,100,62.01,62.69,25.82,1.12
Denpasar,75,ID,1970-01-01 00:00:01.595199801,100,78.8,-8.65,115.22,10.29
Patna,75,IN,1970-01-01 00:00:01.595199690,94,78.8,25.6,85.12,4.7
Xinqing,100,CN,1970-01-01 00:00:01.595199959,95,60.69,48.23,129.5,5.73
Forsytheganj,4,BY,1970-01-01 00:00:01.595199967,89,57.31,52.63,29.73,2.66
Acarí,67,PE,1970-01-01 00:00:01.595199967,65,62.33,-15.43,-74.62,4.45
Pisco,20,PE,1970-01-01 00:00:01.595199704,77,64.4,-13.7,-76.22,18.34
Havøysund,99,NO,1970-01-01 00:00:01.595199968,76,53.6,71.0,24.66,4.7
Pemangkat,78,ID,1970-01-01 00:00:01.595199676,85,75.51,1.17,108.97,5.12
Dryden,90,CA,1970-01-01 00:00:01.595199968,76,57.2,49.78,-92.75,6.93
Concarneau,78,FR,1970-01-01 00:00:01.595199968,93,59.0,47.88,-3.92,10.29
Río Gallegos,40,AR,1970-01-01 00:00:01.595199968,90,32.0,-51.62,-69.22,4.7
Sovetsk,100,RU,1970-01-01 00:00:01.595199968,90,62.31,55.08,21.88,3.56
Shalinskoye,26,RU,1970-01-01 00:00:01.595199969,83,52.79,55.72,93.76,2.73
Arkhangelsk,0,RU,1970-01-01 00:00:01.595199969,93,51.8,64.54,40.54,2.24
Carballo,20,ES,1970-01-01 00:00:01.595199969,88,69.01,43.21,-8.69,6.93
Muros,2,ES,1970-01-01 00:00:01.595199722,82,66.0,42.78,-9.06,11.01
Nouadhibou,11,MR,1970-01-01 00:00:01.595199966,88,71.6,20.93,-17.03,12.75
Nishihara,75,JP,1970-01-01 00:00:01.595199969,88,84.2,26.18,127.76,8.05
Pak Phanang,84,TH,1970-01-01 00:00:01.595199969,84,79.11,8.35,100.2,5.68
Nakasongola,19,UG,1970-01-01 00:00:01.595199969,85,61.99,1.31,32.46,2.19
Srostki,55,RU,1970-01-01 00:00:01.595199970,89,58.14,52.42,85.7,3.51
Los Teques,40,VE,1970-01-01 00:00:01.595199970,74,82.4,10.34,-67.04,5.82
Road Town,20,VG,1970-01-01 00:00:01.595199714,66,86.0,18.42,-64.62,12.75
Lethem,98,GY,1970-01-01 00:00:01.595199970,84,78.17,3.38,-59.8,6.04
Bagpat,75,IN,1970-01-01 00:00:01.595199924,88,87.01,28.95,77.22,4.7
Mayo,1,US,1970-01-01 00:00:01.595199970,66,93.2,38.89,-76.51,11.41
Verkhoyansk,51,RU,1970-01-01 00:00:01.595199970,65,68.63,67.54,133.38,5.06
Champerico,75,GT,1970-01-01 00:00:01.595199971,88,82.4,14.3,-91.92,6.93
Kenai,90,US,1970-01-01 00:00:01.595199735,77,62.6,60.55,-151.26,16.11
Edd,99,ER,1970-01-01 00:00:01.595199971,57,91.44,13.93,41.69,0.58
Waiouru,17,NZ,1970-01-01 00:00:01.595199971,67,52.97,-39.48,175.67,3.27
Kununurra,0,AU,1970-01-01 00:00:01.595199961,25,57.2,-15.77,128.73,5.55
Karatau,29,KZ,1970-01-01 00:00:01.595199971,16,79.29,43.17,70.47,8.63
Lamesa,90,US,1970-01-01 00:00:01.595199971,26,95.0,32.74,-101.95,9.17
Kidal,45,ML,1970-01-01 00:00:01.595199971,35,89.64,18.44,1.41,5.3
Robertsport,100,LR,1970-01-01 00:00:01.595199972,87,76.86,6.75,-11.37,11.54
Macas,40,EC,1970-01-01 00:00:01.595199972,82,66.2,-2.32,-78.12,8.05
Luganville,75,VU,1970-01-01 00:00:01.595199972,69,75.2,-15.53,167.17,4.7
Jieshi,100,CN,1970-01-01 00:00:01.595199972,82,83.28,22.81,115.83,7.31
Philadelphia,20,US,1970-01-01 00:00:01.595199937,46,93.99,39.95,-75.16,10.29
Vestmannaeyjar,34,IS,1970-01-01 00:00:01.595199931,81,49.64,63.44,-20.27,12.37
Port Hedland,0,AU,1970-01-01 00:00:01.595199972,67,59.0,-20.32,118.57,9.17
Kunnamkulam,75,IN,1970-01-01 00:00:01.595199973,88,78.8,10.65,76.08,3.36
Ukiah,1,US,1970-01-01 00:00:01.595199973,26,96.8,39.15,-123.21,6.93
Vila Velha,75,BR,1970-01-01 00:00:01.595199973,94,69.8,-20.33,-40.29,5.82
Deputatsky,100,RU,1970-01-01 00:00:01.595199973,65,59.83,69.3,139.9,2.93
Kołobrzeg,97,PL,1970-01-01 00:00:01.595199687,75,71.01,54.18,15.58,8.75
Pierre,1,US,1970-01-01 00:00:01.595199902,39,80.6,44.37,-100.35,9.17
Sinnamary,84,GF,1970-01-01 00:00:01.595199749,82,79.11,5.38,-52.95,9.13
Chișinău,57,MD,1970-01-01 00:00:01.595199973,82,66.2,47.01,28.86,3.36
Oxapampa,39,PE,1970-01-01 00:00:01.595199974,85,62.13,-10.58,-75.4,1.1
Tessalit,9,ML,1970-01-01 00:00:01.595199974,30,88.7,20.2,1.01,8.55
Adolfo López Mateos,81,MX,1970-01-01 00:00:01.595199974,50,75.0,28.47,-107.3,5.99
Noumea,35,NC,1970-01-01 00:00:01.595199812,77,72.0,-22.28,166.46,4.7
Darnah,0,LY,1970-01-01 00:00:01.595199974,77,75.04,32.77,22.64,17.11
Grindavik,75,IS,1970-01-01 00:00:01.595199974,87,48.2,63.84,-22.43,6.93
Raja,100,SS,1970-01-01 00:00:01.595199975,95,67.57,8.46,25.68,3.87
Province of Mantua,0,IT,1970-01-01 00:00:01.595199975,65,71.01,45.17,10.78,3.0
Erenhot,8,CN,1970-01-01 00:00:01.595199907,32,72.0,43.65,111.98,6.69
Paamiut,93,GL,1970-01-01 00:00:01.595199784,79,47.71,61.99,-49.67,2.91
Geraldton,0,AU,1970-01-01 00:00:01.595199975,81,48.2,-28.77,114.6,1.12
Gympie,0,AU,1970-01-01 00:00:01.595199975,90,55.99,-26.19,152.66,2.89
Obo,100,CF,1970-01-01 00:00:01.595199975,97,66.79,5.4,26.49,3.18
Singaraja,9,ID,1970-01-01 00:00:01.595199976,74,77.85,-8.11,115.09,3.2
Esso,98,RU,1970-01-01 00:00:01.595199952,68,51.96,55.93,158.7,5.59
Roebourne,0,AU,1970-01-01 00:00:01.595199976,69,61.54,-20.78,117.13,12.3
Alta Floresta,74,BR,1970-01-01 00:00:01.595199976,39,79.23,-9.88,-56.09,4.81
Colesberg,0,ZA,1970-01-01 00:00:01.595199976,58,40.78,-30.72,25.1,2.3
Nago,1,JP,1970-01-01 00:00:01.595199976,88,84.0,26.59,127.98,3.36
Cap Malheureux,33,MU,1970-01-01 00:00:01.595199976,78,66.0,-19.98,57.61,3.0
Kipini,64,KE,1970-01-01 00:00:01.595199976,72,76.55,-2.53,40.53,20.36
Marquette,23,US,1970-01-01 00:00:01.595199977,41,80.01,46.53,-87.63,7.0
Ternate,48,ID,1970-01-01 00:00:01.595199977,78,80.46,0.8,127.4,3.44
Batagay-Alyta,99,RU,1970-01-01 00:00:01.595199977,74,62.73,67.8,130.41,2.35
Mount Isa,43,AU,1970-01-01 00:00:01.595199977,20,62.6,-20.73,139.5,4.7
Kamenka,0,RU,1970-01-01 00:00:01.595199977,91,60.01,51.32,42.77,3.89
Lipari,0,IT,1970-01-01 00:00:01.595199977,69,75.0,38.47,14.95,5.99
Solnechnyy,98,RU,1970-01-01 00:00:01.595199977,72,75.51,50.72,136.63,2.26
Port Blair,99,IN,1970-01-01 00:00:01.595199977,78,80.71,11.67,92.75,2.84
Guabito,75,PA,1970-01-01 00:00:01.595199978,83,84.2,9.5,-82.62,10.29
Svetlaya,99,RU,1970-01-01 00:00:01.595199978,77,63.91,46.54,138.33,3.0
San Carlos,84,VE,1970-01-01 00:00:01.595199978,88,77.2,9.66,-68.58,3.02
Ossora,96,RU,1970-01-01 00:00:01.595199978,88,52.84,59.24,163.07,15.23
Kutum,94,SD,1970-01-01 00:00:01.595199978,59,74.5,14.2,24.67,8.75
Bud,40,US,1970-01-01 00:00:01.595199978,88,75.2,39.45,-86.18,5.82
Kropotkin,7,RU,1970-01-01 00:00:01.595199978,57,72.09,45.44,40.58,7.25
Rocha,95,UY,1970-01-01 00:00:01.595199979,92,65.19,-34.48,-54.33,4.72
Belmonte,75,BR,1970-01-01 00:00:01.595199979,94,69.8,-15.86,-38.88,2.24
Kimbe,4,PG,1970-01-01 00:00:01.595199979,71,83.03,-5.55,150.14,3.29
São Félix do Xingu,10,BR,1970-01-01 00:00:01.595199979,50,77.23,-6.64,-51.99,2.91
Provincie Utrecht,100,NL,1970-01-01 00:00:01.595199903,89,61.0,52.0,5.25,1.99
Rosarito,1,MX,1970-01-01 00:00:01.595199979,57,81.0,32.33,-117.03,12.75
Tame,45,CO,1970-01-01 00:00:01.595199979,86,76.84,6.46,-71.73,1.7
Acapulco de Juárez,75,MX,1970-01-01 00:00:01.595199979,74,87.8,16.86,-99.89,5.82
Morro Bay,16,US,1970-01-01 00:00:01.595199901,84,80.01,35.37,-120.85,4.0
Clovis,40,US,1970-01-01 00:00:01.595199980,20,102.99,36.83,-119.7,8.05
Muisne,88,EC,1970-01-01 00:00:01.595199980,87,73.76,0.6,-80.03,10.98
Zhigansk,99,RU,1970-01-01 00:00:01.595199980,65,61.7,66.77,123.37,5.57
Messina,20,IT,1970-01-01 00:00:01.595199739,88,73.0,38.19,15.55,0.43
Independência,41,BR,1970-01-01 00:00:01.595199980,57,75.49,-5.4,-40.31,4.85
Karsun,0,RU,1970-01-01 00:00:01.595199980,93,56.16,54.2,46.98,5.99
Kyabram,0,AU,1970-01-01 00:00:01.595199980,86,45.0,-36.32,145.05,8.01
Lagoa,29,PT,1970-01-01 00:00:01.595199981,79,69.19,39.05,-27.98,5.14
Sisimiut,78,GL,1970-01-01 00:00:01.595199705,72,53.29,66.94,-53.67,4.85
Sandovo,97,RU,1970-01-01 00:00:01.595199981,85,57.51,58.46,36.41,2.8
Gerāsh,0,IR,1970-01-01 00:00:01.595199981,54,83.17,27.67,54.14,2.06
Biak,66,ID,1970-01-01 00:00:01.595199981,81,77.36,-0.91,122.88,7.56
Gigmoto,85,PH,1970-01-01 00:00:01.595199982,81,81.39,13.78,124.39,5.26
Palmer,75,US,1970-01-01 00:00:01.595199971,43,89.6,42.16,-72.33,9.17
Boueni,75,YT,1970-01-01 00:00:01.595199982,69,77.0,-12.9,45.08,23.04
Madang,20,PG,1970-01-01 00:00:01.595199898,75,81.99,-5.22,145.8,1.92
Mergen,100,CN,1970-01-01 00:00:01.595199720,92,65.08,49.18,125.22,3.4
Plettenberg Bay,0,ZA,1970-01-01 00:00:01.595199982,63,57.56,-34.05,23.37,3.27
Mae Hong Son,100,TH,1970-01-01 00:00:01.595199982,85,73.47,19.3,97.97,0.69
Oranjemund,0,NA,1970-01-01 00:00:01.595199953,35,62.58,-28.55,16.43,4.88
Taraclia,0,MD,1970-01-01 00:00:01.595199983,56,67.26,45.9,28.67,2.35
Quatre Cocos,75,MU,1970-01-01 00:00:01.595199983,77,68.0,-20.21,57.76,14.99
Illapel,82,CL,1970-01-01 00:00:01.595199983,76,57.65,-31.63,-71.17,4.03
Narkevychi,100,UA,1970-01-01 00:00:01.595199983,88,60.85,49.52,26.64,4.56
Namwala,0,ZM,1970-01-01 00:00:01.595199983,88,46.74,-15.75,26.44,2.66
Krasnoyarsk,50,RU,1970-01-01 00:00:01.595199983,93,48.2,56.01,92.79,2.17
Baracoa,81,CU,1970-01-01 00:00:01.595199785,75,82.98,20.35,-74.5,7.2
Osakarovka,44,KZ,1970-01-01 00:00:01.595199983,42,62.42,50.56,72.57,8.39
Lagunas,16,PE,1970-01-01 00:00:01.595199956,94,75.88,-5.23,-75.68,3.24
Chinhoyi,0,ZW,1970-01-01 00:00:01.595199984,86,48.34,-17.37,30.2,4.34
Huarmey,85,PE,1970-01-01 00:00:01.595199984,77,63.18,-10.07,-78.15,9.24
Tsimmerbude,27,RU,1970-01-01 00:00:01.595199984,88,64.4,54.67,20.13,2.24
Aleksandrovsk-Sakhalinskiy,99,RU,1970-01-01 00:00:01.595199984,90,64.04,50.9,142.16,2.21
Burnie,12,AU,1970-01-01 00:00:01.595199838,63,46.99,-41.07,145.92,15.99
Lábrea,71,BR,1970-01-01 00:00:01.595199984,68,80.83,-7.26,-64.8,1.45
Mayumba,32,GA,1970-01-01 00:00:01.595199984,91,70.45,-3.43,10.66,5.26
Araure,71,VE,1970-01-01 00:00:01.595199985,62,84.2,9.56,-69.21,14.99
Petatlán,5,MX,1970-01-01 00:00:01.595199985,63,91.4,17.52,-101.27,10.29
Bashtanka,0,UA,1970-01-01 00:00:01.595199985,63,68.52,47.41,32.44,8.68
Booué,96,GA,1970-01-01 00:00:01.595199829,90,72.5,-0.09,11.94,4.0
Corocito,8,HN,1970-01-01 00:00:01.595199985,76,83.64,15.75,-85.78,3.71
Sibolga,19,ID,1970-01-01 00:00:01.595199985,81,76.14,1.74,98.78,3.87
Altay,38,CN,1970-01-01 00:00:01.595199985,51,63.7,47.87,88.12,1.95
Boddam,31,GB,1970-01-01 00:00:01.595199985,81,52.0,57.47,-1.78,6.93
Namatanai,2,PG,1970-01-01 00:00:01.595199846,64,83.93,-3.67,152.43,6.76
Hofn,51,IS,1970-01-01 00:00:01.595199784,60,55.0,64.25,-15.21,7.34
Dodge City,1,US,1970-01-01 00:00:01.595199986,55,90.0,37.75,-100.02,9.17
Moshi,75,TZ,1970-01-01 00:00:01.595199986,73,64.02,-3.35,37.33,1.95
Caraballeda,40,VE,1970-01-01 00:00:01.595199986,74,82.4,10.61,-66.85,5.82
Port Augusta,90,AU,1970-01-01 00:00:01.595199728,76,48.2,-32.5,137.77,4.7
Kerman,0,IR,1970-01-01 00:00:01.595199986,18,73.4,30.28,57.08,11.41
Calabozo,98,VE,1970-01-01 00:00:01.595199986,91,77.2,8.92,-67.43,0.85
Amapá,72,BR,1970-01-01 00:00:01.595199987,96,72.46,1.0,-52.0,1.59
Anking,100,CN,1970-01-01 00:00:01.595199987,84,71.38,30.51,117.05,1.99
Cantapoy,90,PH,1970-01-01 00:00:01.595199987,82,79.21,9.49,125.44,2.95
Malbork,0,PL,1970-01-01 00:00:01.595199987,77,66.0,54.04,19.03,3.36
Iranshahr,18,IR,1970-01-01 00:00:01.595199987,49,89.76,27.2,60.68,0.85
Kumul,76,CN,1970-01-01 00:00:01.595199987,19,84.27,42.8,93.45,9.08
Aquiraz,20,BR,1970-01-01 00:00:01.595199987,78,78.8,-3.9,-38.39,6.93
Bull Savanna,99,JM,1970-01-01 00:00:01.595199988,76,80.17,17.89,-77.59,2.57
Barranca,21,PE,1970-01-01 00:00:01.595199988,83,60.64,-10.75,-77.77,8.43
Bon Air,1,US,1970-01-01 00:00:01.595199988,41,97.0,37.52,-77.56,9.17
Clyde River,90,CA,1970-01-01 00:00:01.595199715,75,46.4,70.47,-68.59,9.17
Beloha,0,MG,1970-01-01 00:00:01.595199988,81,60.84,-25.17,45.05,10.09
Māngrol,98,IN,1970-01-01 00:00:01.595199988,82,83.37,21.12,70.12,14.65
Alice Springs,65,AU,1970-01-01 00:00:01.595199988,61,46.4,-23.7,133.88,10.42
Devonport,15,AU,1970-01-01 00:00:01.595199911,71,48.99,-41.17,146.35,1.99
Cláudio,0,BR,1970-01-01 00:00:01.595199989,64,59.16,-20.44,-44.77,5.21
Treinta y Tres,81,UY,1970-01-01 00:00:01.595199989,81,68.54,-33.23,-54.38,10.8
Namtsy,35,RU,1970-01-01 00:00:01.595199989,78,73.4,62.72,129.67,6.71
Seminole,5,US,1970-01-01 00:00:01.595199989,52,89.6,28.71,-81.21,12.75
Ozernovskiy,99,RU,1970-01-01 00:00:01.595199989,91,51.1,51.5,156.52,11.45
Gao,34,ML,1970-01-01 00:00:01.595199989,38,92.32,16.64,1.64,4.43
Kiruna,92,SE,1970-01-01 00:00:01.595199989,93,53.6,67.86,20.23,3.36
Okha,97,RU,1970-01-01 00:00:01.595199989,87,56.07,53.57,142.95,11.21
Lashma,0,RU,1970-01-01 00:00:01.595199990,95,55.63,54.93,41.14,2.73
Horta,59,PT,1970-01-01 00:00:01.595199990,75,69.4,38.53,-28.63,3.49
Quesnel,90,CA,1970-01-01 00:00:01.595199990,56,69.8,53.0,-122.5,4.7
Alappuzha,89,IN,1970-01-01 00:00:01.595199990,88,79.12,9.49,76.33,3.67
Karachi,75,PK,1970-01-01 00:00:01.595199990,79,86.0,24.91,67.08,13.87
Guaca,40,CO,1970-01-01 00:00:01.595199990,73,77.0,6.88,-72.86,5.82
Lat Yao,100,TH,1970-01-01 00:00:01.595199990,80,80.19,15.75,99.79,3.67
Havre-St-Pierre,1,CA,1970-01-01 00:00:01.595199991,77,69.8,50.23,-63.6,9.17
Kibakwe,0,TZ,1970-01-01 00:00:01.595199991,70,57.99,-6.72,36.37,3.62
Gazli,0,UZ,1970-01-01 00:00:01.595199991,18,83.32,40.13,63.45,6.87
Alihe,98,CN,1970-01-01 00:00:01.595199991,82,63.28,50.57,123.72,2.42
Grand Gaube,45,MU,1970-01-01 00:00:01.595199841,77,66.0,-20.01,57.66,5.01
Sibu,40,MY,1970-01-01 00:00:01.595199991,94,75.2,2.3,111.82,3.36
Beian,75,NO,1970-01-01 00:00:01.595199991,87,53.6,63.66,9.57,3.36
